"","title","year","genre","runtime","mpa_rating","imdb_rating","imdb_votes","imdb_gross","director","stars","description","crit_consensus","tomato_meter","tomato_review","tom_aud_score","tom_ratings","entity","id"
"1","Captain America",1944,"Action, Adventure, Sci-Fi",244,"Approved",5.5,844,0,"Elmer Clifton","Elmer Clifton,Dick Purcell,Lorna Gray,Lionel Atwill,Charles Trowbridge","Superhero Captain America battles the evil forces of the archvillain called The Scarab, who poisons his enemies and steals a secret device capable of destroying buildings by sound vibrations.","Find one of these old serials, friend. They're a tonic for the debilitating malady of Superhero Overload.",0,1,82,250,"MARVEL",1
"2","Howard the Duck",1986,"Action, Adventure, Comedy",110,"PG",4.7,44073,16300000,"Willard Huyck","Willard Huyck,Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale","A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.","While it has its moments, Howard the Duck suffers from an uneven tone and mediocre performances",13,78,38,50000,"MARVEL",2
"3","Blade",1998,"Action, Horror, Sci-Fi",120,"R",7.1,251243,70090000,"Stephen Norrington","Stephen Norrington,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",55,103,78,250000,"MARVEL",3
"4","X-Men",2000,"Action, Adventure, Sci-Fi",104,"PG-13",7.4,580354,157300000,"Bryan Singer","Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Faithful to the comics and filled with action, X-Men brings a crowded slate of classic Marvel characters to the screen with a talented ensemble cast and surprisingly sharp narrative focus.",82,174,83,250000,"MARVEL",4
"5","Blade II",2002,"Action, Fantasy, Horror",117,"R",6.7,203813,82350000,"Guillermo del Toro","Guillermo del Toro,Wesley Snipes,Kris Kristofferson,Ron Perlman,Leonor Varela","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","Though Blade II offers more of what worked in the original, its plot and character development appear to have been left on the cutting room floor.",57,150,68,250000,"MARVEL",5
"6","Spider-Man",2002,"Action, Adventure, Sci-Fi",121,"PG-13",7.3,702986,403710000,"Sam Raimi","Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.",90,244,67,250000,"MARVEL",6
"7","Daredevil",2003,"Action, Crime",103,"PG-13",5.3,208847,102540000,"Mark Steven Johnson","Mark Steven Johnson,Ben Affleck,Jennifer Garner,Colin Farrell,Michael Clarke Duncan","A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.","While Ben Affleck fits the role and the story is sporadically interesting, Daredevil is ultimately a dull, brooding origin story that fails to bring anything new to the genre.",44,229,35,250000,"MARVEL",7
"8","X2: X-Men United",2003,"Action, Sci-Fi, Thriller",134,"PG-13",7.4,519747,214950000,"Bryan Singer","Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,Ian McKellen","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.",85,246,85,250000,"MARVEL",8
"9","Hulk",2003,"Action, Sci-Fi",138,"PG-13",5.6,255002,132180000,"Ang Lee","Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","While Ang Lee's ambitious film earns marks for style and an attempt at dramatic depth, there's ultimately too much talking and not enough smashing.",62,237,29,250000,"MARVEL",9
"10","The Punisher",2004,"Action, Crime, Drama",124,"R",6.4,151872,33680000,"Jonathan Hensleigh","Jonathan Hensleigh,Thomas Jane,John Travolta,Samantha Mathis,Laura Harring","An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.","A good cast fails to elevate this overly violent and by-the-numbers revenge flick.",28,172,63,250000,"MARVEL",10
